Unnamed: 0,question,answer,questions_german,answers_german
1091,"first, i have to find the button.",where did you lose it?,zuerst muss ich den Knopf finden.,Wo haben Sie es verloren?
1092,where did you lose it?,i have no idea.,Wo haben Sie es verloren?,ich habe keine Ahnung.
1093,i have no idea.,a button is hard to find. did you look in your pant cuffs?,ich habe keine Ahnung.,"- ich habe es nicht geschafft, ich habe es nicht"
1094,a button is hard to find. did you look in your pant cuffs?,that's a good idea.,"- ich habe es nicht geschafft, ich habe es nicht",Das ist eine gute Idee.
1095,that's a good idea.,i found a button in my pant cuffs one time.,Das ist eine gute Idee.,ich habe ein Mal einen Knopf in meinen Pant-Cuffs gefunden
1096,i found a button in my pant cuffs one time.,"let me look. no, it's not there.",ich habe ein Mal einen Knopf in meinen Pant-Cuffs gefunden,"Ich schaue mir doch mal mal, nein, es ist nicht da."
1097,"let me look. no, it's not there.",many shirts come with an extra button.,"Ich schaue mir doch mal mal, nein, es ist nicht da.",Viele Hemden sind mit einem zusätzlichen Knopf versehen.
1098,many shirts come with an extra button.,you're right. this one does have an extra button.,Viele Hemden sind mit einem zusätzlichen Knopf versehen.,hat es einen zusätzlichen Button.
1099,you're right. this one does have an extra button.,now all you have to do is sew it on.,hat es einen zusätzlichen Button.,Jetzt musst du nur es ziehen.
1100,i have to go to the bathroom.,you drink too much coffee.,The room was very clean and the room was very clean.,- es gibt keinen großen Kaffee.
1101,you drink too much coffee.,but i love coffee.,- es gibt keinen großen Kaffee.,"Sehr freundliches Personal, freundliches Personal, freundliches Personal"
1102,but i love coffee.,"well, it's your life.","Sehr freundliches Personal, freundliches Personal, freundliches Personal",es ist Ihr Leben.
1103,"well, it's your life.",you eat too much chocolate.,es ist Ihr Leben.,Sie essen zu viel Schokolade.
1104,you eat too much chocolate.,i don't think so.,Sie essen zu viel Schokolade.,"Ich glaube nicht, dass es so ist."
1105,i don't think so.,have you looked in the mirror?,"Ich glaube nicht, dass es so ist.",Haben Sie im Spiegel gesehen?
1106,have you looked in the mirror?,do you think i'm getting fat?,Haben Sie im Spiegel gesehen?,ich nehme ich fett?
1107,do you think i'm getting fat?,i didn't say that.,ich nehme ich fett?,ich habe das nicht gesagt.
1108,i didn't say that.,what did you say?,ich habe das nicht gesagt.,Was haben Sie gesagt?
1109,what did you say?,i said i have to go to the bathroom.,Was haben Sie gesagt?,The hotel is very clean and the staff were very helpful.
1110,i said i have to go to the bathroom.,that's what i thought you said.,The hotel is very clean and the staff were very helpful.,"Das ist das, was ich dachte, Sie sagten."
1111,did you do the laundry?,"yes, i did.",hatt ihr die Wäsche gemacht?,"ja, ich habe es getan."
1112,"yes, i did.",what did you wash?,"ja, ich habe es getan.",Was haben Sie waschen?
1113,what did you wash?,i washed the sheets and towels.,Was haben Sie waschen?,The hotel is very clean and the staff were very helpful.
1114,i washed the sheets and towels.,what about the pillowcases?,The hotel is very clean and the staff were very helpful.,Was ist mit den Kissenkasten?
1115,what about the pillowcases?,"yes, i took them off the pillows and washed them.",Was ist mit den Kissenkasten?,"Sehr freundliches Personal, freundliches Personal, hilfsbereite"
1116,"yes, i took them off the pillows and washed them.",did you dry everything in the dryer?,"Sehr freundliches Personal, freundliches Personal, hilfsbereite",hatt ihr alles im Trockner getrocknet?
1117,did you dry everything in the dryer?,"yes, i dried everything in the dryer.",hatt ihr alles im Trockner getrocknet?,ich habe alles getrocknet im Trockner.
1118,"yes, i dried everything in the dryer.",then what did you do?,ich habe alles getrocknet im Trockner.,dann was haben Sie getan?
1119,then what did you do?,i folded all the towels.,dann was haben Sie getan?,The hotel is very clean and the staff were very helpful.
1120,i folded all the towels.,did you put the sheets on the beds?,The hotel is very clean and the staff were very helpful.,hat man die Betten auf den Betten gelegt?
1121,did you put the sheets on the beds?,"yes, and i put the pillowcases on the pillows.",hat man die Betten auf den Betten gelegt?,"Sehr freundliches Personal, hilfsbereites Personal, freundliche"
1122,do you listen to the radio?,i listen day and night.,Hören Sie auf den Radio?,ich höre Tag und Nacht.
1123,i listen day and night.,what do you listen to?,ich höre Tag und Nacht.,Was hören Sie zu?
1124,what do you listen to?,mostly talk radio.,Was hören Sie zu?,- meist sprechen Radio.
1125,mostly talk radio.,what's that?,- meist sprechen Radio.,Was ist das?
1126,what's that?,people talk about current events.,Was ist das?,Menschen sprechen über aktuelle Ereignisse.
1127,people talk about current events.,what do they say?,Menschen sprechen über aktuelle Ereignisse.,Was sagen sie?
1128,what do they say?,they say they want change.,Was sagen sie?,"sie sagen, sie wollen Veränderungen."
1129,they say they want change.,what kind of change?,"sie sagen, sie wollen Veränderungen.",Welche Art von Veränderung?
1130,what kind of change?,they want tax cuts.,Welche Art von Veränderung?,sie wollen Steuersenkungen.
1131,they want tax cuts.,why do they want tax cuts?,sie wollen Steuersenkungen.,Warum wollen sie Steuersenkungen?
1132,why do they want tax cuts?,because tax cuts will save them money.,Warum wollen sie Steuersenkungen?,weil Steuersenkungen ihnen Geld sparen werden.
1133,"mom, i'm hungry.",look in the fridge.,"Mama, ich bin hungrig.",The room was very clean and the room was very clean.
1134,look in the fridge.,i'm looking. there's nothing to eat.,The room was very clean and the room was very clean.,"i'm looking, there's nothing to eat."
1135,i'm looking. there's nothing to eat.,are you sure?,"i'm looking, there's nothing to eat.",sind Sie sicher?
1136,are you sure?,it's almost empty.,sind Sie sicher?,es ist fast leer.
1137,it's almost empty.,i went to the market yesterday.,es ist fast leer.,ich bin gestern auf den Markt gegangen.
1138,i went to the market yesterday.,i don't see anything.,ich bin gestern auf den Markt gegangen.,ich sehe nichts.
1139,i don't see anything.,i bought lots of oranges and apples.,ich sehe nichts.,ich habe viele Orangen und pfel gekauft.
1140,i bought lots of oranges and apples.,i don't want fruit. i want something tasty.,ich habe viele Orangen und pfel gekauft.,"ich möchte nicht Obst, ich möchte etwas Schmackhaftes."
1141,i don't want fruit. i want something tasty.,eat the fruit. it's good for you.,"ich möchte nicht Obst, ich möchte etwas Schmackhaftes.",es ist gut für Sie.
1142,eat the fruit. it's good for you.,"next time you go to the market, let me go with you.",es ist gut für Sie.,"Wenn Sie zum nächsten Mal auf den Markt gehen, lassen Sie mich mit Ihnen gehen."
1143,"next time you go to the market, let me go with you.","no, thank you. all you want to eat are hot dogs and candy bars.","Wenn Sie zum nächsten Mal auf den Markt gehen, lassen Sie mich mit Ihnen gehen.","Vielen Dank, ich sage Ihnen nur heiße Hunde und Süßspe"
1144,what is there to eat?,i don't know. look in the fridge.,Was gibt es zu essen?,The room was very clean and the room was very clean.
1145,i don't know. look in the fridge.,i think i'll make a sandwich.,The room was very clean and the room was very clean.,"ich glaube, ich werde ein Sandwich machen."
1146,i think i'll make a sandwich.,what kind?,"ich glaube, ich werde ein Sandwich machen.",Welche Art?
1147,what kind?,a ham sandwich.,Welche Art?,es ist ein Schinkenschild.
1148,a ham sandwich.,the bread is in the cabinet.,es ist ein Schinkenschild.,das Brot ist im Kabinett.
1149,the bread is in the cabinet.,where's the mustard?,das Brot ist im Kabinett.,wo ist der Senf?
1150,where's the mustard?,"it's in the fridge, i think.",wo ist der Senf?,The room was very clean and the room was very clean.
1151,"it's in the fridge, i think.","oh, yes, here it is. do you want a sandwich?",The room was very clean and the room was very clean.,"oh, ja, hier ist es. Wollen Sie ein Sandwich?"
1152,"oh, yes, here it is. do you want a sandwich?","yes, that sounds nice.","oh, ja, hier ist es. Wollen Sie ein Sandwich?","ja, das klingt schön."
1153,"yes, that sounds nice.",how about some potato chips?,"ja, das klingt schön.",Wie schließe ich mich einigen Kartoffelchips an?
1154,how about some potato chips?,"yes. and a pickle, if we have any.",Wie schließe ich mich einigen Kartoffelchips an?,"Ja, und eine Pickle, wenn wir irgendwelche haben."
1155,"it's time for your bath, young lady.","but, mom, i'm not dirty.","es ist Zeit für Ihr Bad, junge Frau.","aber, Mama, ich bin nicht schmutzig."
1156,"but, mom, i'm not dirty.",you need a bath every day.,"aber, Mama, ich bin nicht schmutzig.",Sie brauchen jeden Tag ein Bad.
1157,you need a bath every day.,why?,Sie brauchen jeden Tag ein Bad.,Warum?
1158,why?,because you don't want to smell bad.,Warum?,", weil man nicht schlecht riechen will."
1159,because you don't want to smell bad.,i don't smell bad.,", weil man nicht schlecht riechen will.",The hotel is very clean and the staff are very helpful.
1160,i don't smell bad.,that's what you think.,The hotel is very clean and the staff are very helpful.,"Das ist es, was Sie denken."
1161,that's what you think.,"if i smelled bad, i could smell me.","Das ist es, was Sie denken.","Sehr freundliches Personal, freundliches Personal, hilfsbereite"
1162,"if i smelled bad, i could smell me.",i can smell you.,"Sehr freundliches Personal, freundliches Personal, hilfsbereite",ich kann dich riechen.
1163,i can smell you.,"i can smell you, too.",ich kann dich riechen.,ich kann auch dich riechen.
1164,"i can smell you, too.",that's my perfume.,ich kann auch dich riechen.,Das ist mein Parfüm.
1165,that's my perfume.,when can i wear perfume?,Das ist mein Parfüm.,wann kann ich Parfum tragen?
1166,something's wrong with my computer.,exactly what?,etwas ist falsch mit meinem Computer.,Was genau?
1167,exactly what?,all i get is a black screen.,Was genau?,Alles was ich erhalte ist ein schwarzer Bildschirm.
1168,all i get is a black screen.,what's the matter?,Alles was ich erhalte ist ein schwarzer Bildschirm.,Was ist die Sache?
1169,what's the matter?,"i think i know, because this happened before.",Was ist die Sache?,"ich glaube, ich weiß, denn das ist schon vorher geschehen."
1170,"i think i know, because this happened before.",what happened before?,"ich glaube, ich weiß, denn das ist schon vorher geschehen.",Was ist schon vorgefallen?
1171,what happened before?,my hard drive crashed.,Was ist schon vorgefallen?,Meine Festplatte stürzte ab.
1172,my hard drive crashed.,"oh, no. that's bad news.",Meine Festplatte stürzte ab.,"oh, nein, das ist schlechte Nachricht."
1173,"oh, no. that's bad news.","it sure is, but i'm going to call hp first, just to make sure.","oh, nein, das ist schlechte Nachricht.","es ist sicher, aber ich werde zuerst hp nennen, nur um"
1174,"it sure is, but i'm going to call hp first, just to make sure.",will you lose all your files?,"es ist sicher, aber ich werde zuerst hp nennen, nur um",werden Sie alle Ihre Dateien verlieren?
1175,will you lose all your files?,"no, i always back up my files.",werden Sie alle Ihre Dateien verlieren?,"ne, ich speichere immer meine Dateien."
1176,"no, i always back up my files.",you're smart.,"ne, ich speichere immer meine Dateien.",Sie sind intelligent.
1177,i called hp about my computer.,what did they say?,ich rief hp über meinen Computer.,Was haben sie gesagt?
1178,what did they say?,they said i need a new hard drive.,Was haben sie gesagt?,ich habe eine neue Festplatte benötigt.
1179,they said i need a new hard drive.,that's too bad. how much is a new one?,ich habe eine neue Festplatte benötigt.,Wie viel ist ein neuer?
1180,that's too bad. how much is a new one?,"it's not too much, only about $85.",Wie viel ist ein neuer?,"es ist nicht zu viel, nur etwa 85 $."
1181,"it's not too much, only about $85.",plus installation?,"es ist nicht zu viel, nur etwa 85 $.",plus Installation?
1182,plus installation?,"no, my hard drive is easy to remove and replace.",plus Installation?,"Nein, meine Festplatte ist einfach zu entfernen und zu ersetzen."
1183,"no, my hard drive is easy to remove and replace.",really?,"Nein, meine Festplatte ist einfach zu entfernen und zu ersetzen.",wirklich?
1184,really?,"yes, it's just a couple of screws.",wirklich?,"ja, es ist nur ein paar Schrauben."
1185,"yes, it's just a couple of screws.",that's nice.,"ja, es ist nur ein paar Schrauben.",Das ist schön.
1186,that's nice.,it's a lot better than paying someone $60.,Das ist schön.,Es ist viel besser als jemanden 60 Dollar zu bezahlen.
1187,it's a lot better than paying someone $60.,"if my hard drive crashes, i'll just call you.",Es ist viel besser als jemanden 60 Dollar zu bezahlen.,"Wenn meine Festplatte abstürzt, rufe ich Sie einfach an."
1188,what's your email address?,it's bluedog123.,Was ist Ihre E-Mail-Adresse?,es ist bluedog123.
1189,it's bluedog123.,bluedog123. are you sure that's all?,es ist bluedog123.,"bluedog123. sind Sie sicher, dass das alles ist?"
1190,bluedog123. are you sure that's all?,yes.,"bluedog123. sind Sie sicher, dass das alles ist?",ja.
1191,yes.,no. that's incomplete.,ja.,"Nein, das ist unvollständig."
1192,no. that's incomplete.,what do you mean?,"Nein, das ist unvollständig.",Was meinen Sie?
1193,what do you mean?,what's your mailing address?,Was meinen Sie?,welche Mailing-Adresse?
1194,what's your mailing address?,"456 cherry drive, pasadena, ca 91170.",welche Mailing-Adresse?,"456 Cherry Drive, pasadena, ca 91170."
1195,"456 cherry drive, pasadena, ca 91170.",that's correct.,"456 Cherry Drive, pasadena, ca 91170.",Das ist richtig.
1196,that's correct.,so what's the problem?,Das ist richtig.,Also was ist das Problem?
1197,so what's the problem?,"bluedog123 is just the street. you have to give me the city, state, and zip code.",Also was ist das Problem?,"bluedog123 ist die Straße, die man mir die Stadt, den Staat und die"
1198,"bluedog123 is just the street. you have to give me the city, state, and zip code.","oh, i get it. my email address is bluedog123@yahoo.com.","bluedog123 ist die Straße, die man mir die Stadt, den Staat und die","oh, ich erhalte es, meine E-Mail-Adresse"
1199,i'm going to take a nap.,you should unplug the phone.,ich werde eine nappen.,Sie sollten das Telefon entpacken.
1200,you should unplug the phone.,that's a good idea.,Sie sollten das Telefon entpacken.,Das ist eine gute Idee.
1201,that's a good idea.,do you want me to wake you in an hour?,Das ist eine gute Idee.,"Wollen Sie, dass ich Sie in einer Stunde aufwachen?"
1202,do you want me to wake you in an hour?,"no, thanks. just let me sleep until i wake up.","Wollen Sie, dass ich Sie in einer Stunde aufwachen?","Leider hat es keinen guten Eindruck, dass ich es"
1203,"no, thanks. just let me sleep until i wake up.",i'll start dinner at 6:00.,"Leider hat es keinen guten Eindruck, dass ich es",ich beginne das Abendessen um 6:00 Uhr.
1204,i'll start dinner at 6:00.,okay. i think i'll be awake by then.,ich beginne das Abendessen um 6:00 Uhr.,"ich hoffe, ich werde wach sein."
1205,okay. i think i'll be awake by then.,"if not, your nose will wake you up.","ich hoffe, ich werde wach sein.","Wenn nicht, wird die Nase Sie aufwachen."
1206,"if not, your nose will wake you up.",you mean i will smell the food cooking?,"Wenn nicht, wird die Nase Sie aufwachen.","Sie meinen, ich werde die Lebensmittel kochen?"
1207,you mean i will smell the food cooking?,you might even dream about dinner.,"Sie meinen, ich werde die Lebensmittel kochen?",Sie können sogar von Abendessen träumen.
1208,you might even dream about dinner.,i don't think i'm going to dream about anything. i'm really tired.,Sie können sogar von Abendessen träumen.,"ich träume nicht von etwas, ich bin wirklich müde."
1209,i don't think i'm going to dream about anything. i'm really tired.,have a nice nap.,"ich träume nicht von etwas, ich bin wirklich müde.",hat eine schöne Nackt.
1210,that was a nice funeral.,"yes, dad, it was.",Das war ein nettes Bestattungsgesuch.,"ja, Vater, es war."
1211,"yes, dad, it was.",the son gave a nice speech about his father.,"ja, Vater, es war.",der Sohn hat eine schöne Rede über seinen Vater gehalten.
1212,the son gave a nice speech about his father.,"it was long, too.",der Sohn hat eine schöne Rede über seinen Vater gehalten.,es war auch lang.
1213,"it was long, too.",i think it was about 45 minutes long.,es war auch lang.,"Sehr freundliches Personal, freundliches Personal, freundliches Personal"
1214,i think it was about 45 minutes long.,but it went by fast. it was interesting.,"Sehr freundliches Personal, freundliches Personal, freundliches Personal","Sehr freundliches Personal, freundliches Personal, freundliches Personal"
1215,but it went by fast. it was interesting.,i liked it.,"Sehr freundliches Personal, freundliches Personal, freundliches Personal",The hotel is very clean and the staff are very helpful.
1216,i liked it.,"i'll give you a speech like that, too.",The hotel is very clean and the staff are very helpful.,ich werde Ihnen auch eine solche Rede geben.
1217,"i'll give you a speech like that, too.",do you think anyone will come to my funeral?,ich werde Ihnen auch eine solche Rede geben.,"meinen Sie, dass jemand zu meiner Beerdigung kommen wird?"
1218,do you think anyone will come to my funeral?,of course.,"meinen Sie, dass jemand zu meiner Beerdigung kommen wird?",Natürlich.
1219,of course.,i think only the family will be there.,Natürlich.,"ich denke, nur die Familie wird da sein."
1220,i think only the family will be there.,"you have lots of friends. they will be there, too!","ich denke, nur die Familie wird da sein.","Sie haben viele Freunde, sie werden auch dort sein!"
1221,yikes! what was that noise?,i had to blow my nose.,"i was a bit stale, but i was a bit s",ich musste meine Nase blasen.
1222,i had to blow my nose.,did you have to blow right next to the phone?,ich musste meine Nase blasen.,hat man direkt neben dem Telefon bläst?
1223,did you have to blow right next to the phone?,did you hear that?,hat man direkt neben dem Telefon bläst?,hat man das gehört?
1224,did you hear that?,of course i heard that. i thought a plane had crashed into your house.,hat man das gehört?,"Ich habe das natürlich gehört, ich dachte, ein Flugzeug sei in Ihr Haus gestür"
1225,of course i heard that. i thought a plane had crashed into your house.,it wasn't that loud.,"Ich habe das natürlich gehört, ich dachte, ein Flugzeug sei in Ihr Haus gestür",The room was very clean and the room was very clean.
1226,it wasn't that loud.,"i will blow my nose sometime for you, and you'll see.",The room was very clean and the room was very clean.,"ich werde irgendwann meine Nase für Sie blasen, und Sie werden"
1227,"i will blow my nose sometime for you, and you'll see.",okay. i'll take your word for it.,"ich werde irgendwann meine Nase für Sie blasen, und Sie werden",ich nehme Ihr Wort dafür.
1228,okay. i'll take your word for it.,i thought you had an elephant in your house.,ich nehme Ihr Wort dafür.,i thought you had an elephant in your house.
1229,i thought you had an elephant in your house.,you're funny.,i thought you had an elephant in your house.,Sie sind lustig.
1230,you're funny.,what did you say? i think i've gone deaf.,Sie sind lustig.,Was haben Sie gesagt?
1231,what did you say? i think i've gone deaf.,i'm going into the bathroom to blow my nose. i'll be right back.,Was haben Sie gesagt?,"i'm going into the bathroom to blow my nose, i'll be right"
1232,i have lots of friends.,really? how many do you have?,Ich habe viele Freunde.,Wie viele haben Sie?
1233,really? how many do you have?,"i don't know, maybe one hundred.",Wie viele haben Sie?,"ich weiß nicht, vielleicht einhundert."
1234,"i don't know, maybe one hundred.",that is a lot of friends. do you have a best friend?,"ich weiß nicht, vielleicht einhundert.","ich habe es mit vielen Freunden zu tun, ich habe einen besten"
1235,that is a lot of friends. do you have a best friend?,of course. i have lots of best friends.,"ich habe es mit vielen Freunden zu tun, ich habe einen besten",Ich habe natürlich viele beste Freunde.
1236,of course. i have lots of best friends.,how many best friends do you have?,Ich habe natürlich viele beste Freunde.,Wie viele Freunde haben Sie?
1237,how many best friends do you have?,i think about twenty-five.,Wie viele Freunde haben Sie?,Ich denke an 25.
1238,i think about twenty-five.,hmm. i have only one best friend.,Ich denke an 25.,"hmmmm, ich habe nur einen besten Freund."
1239,hmm. i have only one best friend.,i feel sorry for you.,"hmmmm, ich habe nur einen besten Freund.",Leider entschuldige ich mich für Sie.
1240,i feel sorry for you.,i have only a few friends.,Leider entschuldige ich mich für Sie.,Ich habe nur einige Freunde.
1241,i have only a few friends.,you must be lonely. i will share my friends with you.,Ich habe nur einige Freunde.,Ich teile meine Freunde mit Ihnen.
1242,you must be lonely. i will share my friends with you.,that's very nice of you.,Ich teile meine Freunde mit Ihnen.,Das ist sehr schön von euch.
1243,don't you ever cheat on me.,why would i do that?,"ich habe es nicht geschafft, mich zu betrügen.",Warum würde ich das tun?
1244,why would i do that?,because men like to cheat.,Warum würde ich das tun?,weil Männer gerne betrügen.
1245,because men like to cheat.,"some men do, but not me.",weil Männer gerne betrügen.,"Einige Männer tun es, aber nicht mich."
1246,"some men do, but not me.",i'm watching you.,"Einige Männer tun es, aber nicht mich.",ich schaue dir an.
1247,i'm watching you.,i'm an open book. watch me all you want.,ich schaue dir an.,"ich bin ein offenes Buch, schaue mir alles, was du wills"
1248,i'm an open book. watch me all you want.,"if i catch you, you'll be sorry.","ich bin ein offenes Buch, schaue mir alles, was du wills","Wenn ich dich fänge, dann tut mir leid."
1249,"if i catch you, you'll be sorry.","you won't catch me, because i love you. i'm not a cheater.","Wenn ich dich fänge, dann tut mir leid.","ich nehme mich nicht auf, weil ich dich liebe."
1250,"you won't catch me, because i love you. i'm not a cheater.",i will poke your eyes out. ,"ich nehme mich nicht auf, weil ich dich liebe.",ich werde deine Augen aussen werfen.
1251,i will poke your eyes out. ,i don't want any other woman.,ich werde deine Augen aussen werfen.,ich will keine andere Frau.
1252,i don't want any other woman.,"i will chop your toes off, one by one.",ich will keine andere Frau.,"ich werde deine Zehen abschneiden, ein für ein."
1253,"i will chop your toes off, one by one.","honey, please. you're the only woman for me, forever. i swear it.","ich werde deine Zehen abschneiden, ein für ein.","ich hoffe, ich hoffe, ich sage e"
1254,i hate to go outside.,me too.,"ich hasse, draußen zu gehen.",Auch ich.
1255,me too.,why do you hate to go outside?,Auch ich.,"Warum hasst du es, draußen zu gehen?"
1256,why do you hate to go outside?,i meet too many jerks.,"Warum hasst du es, draußen zu gehen?",ich treffe zu viele jerks.
1257,i meet too many jerks.,i agree.,ich treffe zu viele jerks.,Ich stimme dem zu.
1258,i agree.,this city is full of jerks.,Ich stimme dem zu.,Die Stadt ist voller rmel.
1259,this city is full of jerks.,rude people are everywhere.,Die Stadt ist voller rmel.,hnliche Leute sind überall.
1260,rude people are everywhere.,but what can you do?,hnliche Leute sind überall.,aber was können Sie tun?
1261,but what can you do?,you can yell at them.,aber was können Sie tun?,Sie können ihnen schreien.
1262,you can yell at them.,and they will yell back at you.,Sie können ihnen schreien.,und sie rufen Sie zurück.
1263,and they will yell back at you.,yelling doesn't do any good.,und sie rufen Sie zurück.,schreien hat nichts Gutes.
1264,yelling doesn't do any good.,no. the best thing to do is just stay home.,schreien hat nichts Gutes.,"Leider ist es nicht so, dass man sich nicht entgehen lässt."
1265,will you look at this form?,are you having problems with it?,werden Sie dieses Formular ansehen?,Haben Sie Probleme damit?
1266,are you having problems with it?,i don't understand some things.,Haben Sie Probleme damit?,ich verstehe einige Dinge nicht.
1267,i don't understand some things.,let me help you.,ich verstehe einige Dinge nicht.,Lassen Sie mich Ihnen helfen.
1268,let me help you.,"what does ""mi"" mean?",Lassen Sie mich Ihnen helfen.,"Was bedeutet ""mi""?"
1269,"what does ""mi"" mean?","""mi"" stands for middle initial.","Was bedeutet ""mi""?","""mi"" steht für mittlere Initiale."
1270,"""mi"" stands for middle initial.","what does ""mm/dd/yy"" mean?","""mi"" steht für mittlere Initiale.","Was bedeutet ""mm/dd/yy""?"
1271,"what does ""mm/dd/yy"" mean?",that means month/day/year. use numbers.,"Was bedeutet ""mm/dd/yy""?",Das bedeutet Monat/Tag/Jahr.
1272,that means month/day/year. use numbers.,i don't understand.,Das bedeutet Monat/Tag/Jahr.,ich verstehe nicht.
1273,i don't understand.,"for example, if your birth date is january 12, 1987, write 01/12/87.",ich verstehe nicht.,"Wenn Sie beispielsweise am 12. Januar 1987 Ihre Geburtsdatum haben, schreiben Sie 01"
1274,"for example, if your birth date is january 12, 1987, write 01/12/87.",oh. that's simple enough.,"Wenn Sie beispielsweise am 12. Januar 1987 Ihre Geburtsdatum haben, schreiben Sie 01","oh, das ist einfach genug."
1275,oh. that's simple enough.,"always print clearly, and fill in the bubbles completely.","oh, das ist einfach genug.",immer klar drucken und die Blasen vollständig füllen.
1276,let's go to the animal shelter.,what do you want to do?,Gehen wir zum Tierschutz.,Was wollen Sie tun?
1277,what do you want to do?,i want to get a puppy for my son.,Was wollen Sie tun?,Ich möchte einen Welpen für meinen Sohn bekommen.
1278,i want to get a puppy for my son.,that will make him so happy.,Ich möchte einen Welpen für meinen Sohn bekommen.,", die ihn so glücklich machen wird."
1279,that will make him so happy.,i'll get him one of those little dogs.,", die ihn so glücklich machen wird.",ich werde ihn zu einem dieser kleinen Hunde bekommen.
1280,i'll get him one of those little dogs.,one that won't grow up too big.,ich werde ihn zu einem dieser kleinen Hunde bekommen.,"eines, das nicht zu groß aufwachsen wird."
1281,one that won't grow up too big.,and eat too much.,"eines, das nicht zu groß aufwachsen wird.",und zu viel zu essen.
1282,and eat too much.,do you know which one he would like?,und zu viel zu essen.,"Wissen Sie, welchen er will?"
1283,do you know which one he would like?,"oh, yes, i took him there yesterday. he showed me one that he really liked.","Wissen Sie, welchen er will?","oh, ja, ich nahm ihn gestern dorthin, er zeigte"
1284,"oh, yes, i took him there yesterday. he showed me one that he really liked.",i bet you had to drag him away.,"oh, ja, ich nahm ihn gestern dorthin, er zeigte","i wettet, du mußt ihn wegziehen."
1285,i bet you had to drag him away.,he wanted to take it home yesterday.,"i wettet, du mußt ihn wegziehen.",er wollte es gestern nach Hause nehmen.
1286,he wanted to take it home yesterday.,i wonder what he'll name it.,er wollte es gestern nach Hause nehmen.,"ich frage mich, was er es nennen wird."
1287,what's the weather like?,i don't know. i just woke up.,Wie sieht das Wetter aus?,"ich habe mich nicht erweckt, ich habe mich gerade aufgewacht"
1288,i don't know. i just woke up.,why don't you look outside?,"ich habe mich nicht erweckt, ich habe mich gerade aufgewacht",Warum schauen Sie nicht nach draußen?
1289,why don't you look outside?,okay. it looks like rain.,Warum schauen Sie nicht nach draußen?,"Sehr freundliches Personal, freundliches Personal, hilfsbereite"
1290,okay. it looks like rain.,why do you say that?,"Sehr freundliches Personal, freundliches Personal, hilfsbereite",Warum sagen Sie das?
1291,why do you say that?,the sky is gray.,Warum sagen Sie das?,der Himmel ist grau.
1292,the sky is gray.,is it raining right now?,der Himmel ist grau.,regnet es jetzt?
1293,is it raining right now?,no.,regnet es jetzt?,Nein.
1294,no.,how do you know?,Nein.,Wie wissen Sie?
1295,how do you know?,the street isn't wet.,Wie wissen Sie?,The hotel is very quiet and the staff were very helpful.
1296,the street isn't wet.,i have to go shopping today.,The hotel is very quiet and the staff were very helpful.,ich muss heute einkaufen.
1297,i have to go shopping today.,you'd better take an umbrella.,ich muss heute einkaufen.,Sie sollten lieber einen Sonnenschirm nehmen.
1298,i can't believe how hot it is.,it's not even noon yet.,"ich kann nicht glauben, wie heiß es ist.",es ist noch nicht einmal Mittag.
1299,it's not even noon yet.,that means it will get hotter.,es ist noch nicht einmal Mittag.,"Das bedeutet, dass es heißer wird."
1300,that means it will get hotter.,i am dying from the heat.,"Das bedeutet, dass es heißer wird.",ich sterben an der Hitze.
1301,i am dying from the heat.,turn on the air conditioner.,ich sterben an der Hitze.,schalten Sie die Klimaanlage ein.
1302,turn on the air conditioner.,it doesn't work.,schalten Sie die Klimaanlage ein.,es funktioniert nicht.
1303,it doesn't work.,what happened?,es funktioniert nicht.,Was ist passiert?
1304,what happened?,i don't know.,Was ist passiert?,ich weiß nicht.
1305,i don't know.,did you call the repairman?,ich weiß nicht.,hatt ihr den Reparaturmann angerufen?
1306,did you call the repairman?,of course.,hatt ihr den Reparaturmann angerufen?,Natürlich.
1307,of course.,when is he coming?,Natürlich.,wann kommt er?
1308,when is he coming?,he's busy. he said next week.,wann kommt er?,"er ist beschäftigt, sagte er nächste Woche."
1309,i'll be glad when winter comes.,why is that?,"ich werde mich freuen, wenn der Winter kommt.",Warum?
1310,why is that?,because i love the snow.,Warum?,ich liebe den Schnee.
1311,because i love the snow.,"yes, the snow is fun.",ich liebe den Schnee.,"ja, der Schnee ist Spaß."
1312,"yes, the snow is fun.",last year we made a big snowman.,"ja, der Schnee ist Spaß.",im letzten Jahr haben wir einen großen Schneemann gemacht.
1313,last year we made a big snowman.,how big was it?,im letzten Jahr haben wir einen großen Schneemann gemacht.,wie groß war es?
1314,how big was it?,it was seven feet tall.,wie groß war es?,es war sieben Meter hoch.
1315,it was seven feet tall.,how long did it take?,es war sieben Meter hoch.,Wie lange dauerte es?
1316,how long did it take?,it took us all day.,Wie lange dauerte es?,es hat uns den ganzen Tag genommen.
1317,it took us all day.,did you give him a nose?,es hat uns den ganzen Tag genommen.,hat man ihm eine Nase gegeben?
1318,did you give him a nose?,of course. we gave him a big carrot for a nose.,hat man ihm eine Nase gegeben?,Natürlich haben wir ihm ein großes Zuckerbrot für eine Nase gegeben.
1319,of course. we gave him a big carrot for a nose.,let me help you make one this year.,Natürlich haben wir ihm ein großes Zuckerbrot für eine Nase gegeben.,"Ich möchte Ihnen helfen, dieses Jahr eine zu machen."
1320,i'm going to the bank.,what do you need to do?,ich reise an die Bank.,Was müssen Sie tun?
